id,nom,departement,ville,cp,type,no2_2017,pm10_2017,pm25_2017,geometry,nb_equipements_ville
0931254H,Ecole primaire Jean Jaurès,93,Le-Bourget,93350,primaire,32.0022302889824,19.863977507243085,12.117026314735412,"c(2.41900798463305, 48.9360136496924)",13
0931258M,Ecole primaire René Deschamps,93,Drancy,93700,primaire,32.26878479272128,19.958668149359177,12.214311182498934,"c(2.45341955773276, 48.915366047714)",58
0931259N,Ecole primaire Joliot-Curie,93,Drancy,93700,primaire,31.968425993621352,19.91161058747145,12.14822255820036,"c(2.45355838127632, 48.9199476767477)",58
0931261R,Section d'enseignement général et professionnel adapté Jean Moulin,93,Montreuil,93100,secondaire,33.80237984895706,20.24953195243721,12.3518908649683,"c(2.45537197173791, 48.8595732115368)",109
0931262S,Ecole primaire Victor Hugo,93,Bobigny,93000,primaire,32.76894396960736,20.11561268637144,12.295114353597164,"c(2.43997896525261, 48.9018621213933)",54
0931263T,Ecole maternelle Varenne,93,Noisy-le-Grand,93160,primaire,32.44989897012711,20.73808095886392,12.762229537963863,"c(2.5333240479323, 48.846803712098)",70
0931272C,Lycée général et technologique Gustave Eiffel,93,Gagny,93220,secondaire,30.072544384002693,19.80235233450724,12.079434981346132,"c(2.54219685698572, 48.8892394489453)",37
0931274E,Ecole primaire Paul Langevin,93,Noisy-le-Sec,93130,primaire,33.181704461574554,20.08507226702025,12.2514764970541,"c(2.45976467749834, 48.8854902002642)",36
0931275F,Ecole primaire Marcel Cachin,93,Drancy,93700,primaire,35.08750211000442,21.2544677567032,13.111225283145906,"c(2.46277538797434, 48.9192231630641)",58
0931276G,Ecole primaire Paul Langevin,93,Dugny,93440,primaire,30.191174964904786,19.595901242369777,11.9535000872612,"c(2.41420883831991, 48.9552688915943)",14
0931278J,Ecole maternelle Lacepède,93,Épinay-sur-Seine,93800,primaire,29.925143098831175,19.532346869174127,11.9147314786911,"c(2.31475298673137, 48.9570222873218)",54
0931280L,Ecole primaire Alexandre Dumas,93,Épinay-sur-Seine,93800,primaire,29.768180017471305,19.512478154900613,11.902611474990843,"c(2.29698553497028, 48.9551046938978)",54
0931282N,Ecole primaire Paul Eluard,93,Montfermeil,93370,primaire,29.698092577457427,19.903670256656756,12.151219194233418,"c(2.56432943753472, 48.8990075255932)",24
0931283P,Ecole primaire Anatole France,93,Montreuil,93100,primaire,33.360030179023745,20.19533952163485,12.31882205232978,"c(2.46239627758683, 48.862006206987)",109
0931284R,Ecole primaire Danton,93,Montreuil,93100,primaire,34.703087342977526,20.556889315818445,12.490572896599769,"c(2.45336408992708, 48.8653072273238)",109
0931285S,Ecole primaire Nanteuil,93,Montreuil,93100,primaire,33.16856011152268,20.13010075937818,12.279028644561768,"c(2.46397143566504, 48.8735840848975)",109
0931286T,Ecole primaire Marcelin Berthelot,93,Montreuil,93100,primaire,34.899553425312035,20.406293001057374,12.454268619418144,"c(2.4380065871064, 48.8557309688346)",109
0931287U,Ecole primaire Paul Bert,93,Montreuil,93100,primaire,35.63502935767174,20.474638963486875,12.48952992260456,"c(2.41944859547127, 48.8535981554265)",109
0931288V,Ecole primaire Boissière,93,Montreuil,93100,primaire,34.88366933822631,20.645347952415666,12.860044853687286,"c(2.45511216121667, 48.8742500581707)",109
0931289W,Ecole primaire Herriot,93,Neuilly-Plaisance,93360,primaire,31.170156707763677,19.945292096060108,12.166628007888791,"c(2.51147026531592, 48.8723376471185)",18
0931290X,Ecole primaire Bel Air,93,Neuilly-Plaisance,93360,primaire,32.40712987661362,20.345782881138557,12.480447343587874,"c(2.50465052266009, 48.8696557059775)",18
0931292Z,Ecole primaire Jean-Baptiste Du Hamel,93,Neuilly-sur-Marne,93330,primaire,32.400934865474696,20.578601529925795,12.63107721567154,"c(2.52951844986304, 48.8651856521491)",34
0931293A,Ecole primaire Marcel Cachin,93,Neuilly-sur-Marne,93330,primaire,33.60513895750046,21.108731148879517,13.04432624578476,"c(2.5289835973443, 48.8670505558088)",34
0931294B,Ecole primaire Louis Amiard,93,Neuilly-sur-Marne,93330,primaire,30.62705970168114,19.93335810143475,12.159348732233047,"c(2.52837044062266, 48.858889403339)",34
0931295C,Ecole primaire Jules Ferry,93,Noisy-le-Grand,93160,primaire,28.95750541687012,19.811690986777528,12.085131483078005,"c(2.56938916537231, 48.8438560055503)",70
0931296D,Ecole primaire Coteaux,93,Noisy-le-Grand,93160,primaire,29.07273844599724,19.80396571037396,12.08041898906231,"c(2.57033842281918, 48.8539931864561)",70
0931298F,Ecole primaire Carnot,93,Noisy-le-Sec,93130,primaire,33.03757371306419,20.05770395231086,12.264377497136593,"c(2.45835933571104, 48.8934293016982)",36
0931299G,Ecole primaire Joliot-Curie,93,Pantin,93500,primaire,35.93665599822998,20.39036394716629,12.43865653316956,"c(2.4057003075752, 48.8908709953062)",57
0931300H,Ecole primaire Jean Jaurès,93,Pantin,93500,primaire,36.00136216878892,20.40133124639393,12.444346839189528,"c(2.40554062874879, 48.889327870454)",57
0931301J,Ecole primaire Jean Jaurès,93,Pierrefitte-sur-Seine,93380,primaire,30.67693737745285,19.93187173705904,12.25344209074974,"c(2.36032440667562, 48.965255034725)",24
